posts,angry,fear,happy,neutral,sad,surprise
今天雨下得好大，偶尔闭上眼睛，听着窗外的雨声，觉得特别安宁。生活原来可以如此简单。,0.0,0.0,0.77,0.09,0.07,0.06
看着窗外的风景，心里突然涌现出一种安静的满足感。偶尔也要学会停下脚步，感受生活的美好。,0.0,0.0,0.98,0.06,0.0,0.0
生活总是会有烦躁的时候，但总有一些小事能让你重新找回平静，比如一杯热茶，一本好书。,0.0,0.0,0.82,0.27,0.09,0.0
在公园漫步，发现了一片小花丛，竟然被它们的颜色吸引，心情瞬间变得好轻松。,0.0,0.0,0.78,0.0,0.0,0.27
这几天总是充满了不安，可能是因为太想控制一切吧。也许，放下这些焦虑，反而会更自由。,0.05,0.05,0.27,0.22,0.44,0.0
看到了一幅美丽的画，瞬间被深深打动。生活中，艺术真的能带给我无限的力量。,0.0,0.0,1.0,0.0,0.0,0.0
今天和朋友聊到一些过去的事情，才发现，很多曾经的烦恼如今都已不再重要。,0.0,0.0,0.1,0.18,0.73,0.14
觉得生活有时候太过单调，但总能在某个不经意的瞬间，找到属于自己的小小幸福。,0.0,0.0,0.85,0.0,0.15,0.0
最近好喜欢早晨的阳光，温暖的照在身上，感觉整个世界都变得更加明亮。,0.07,0.0,1.0,0.0,0.0,0.0
虽然工作忙碌，但每当夜晚静下来时，心里总能找到一份安宁。这或许就是最好的疗愈。,0.0,0.0,0.87,0.21,0.0,0.0
想要放下所有的压力，去做一些自己喜欢的事情，或许是时候给自己一点时间，去追求心中的自由。,0.0,0.0,0.65,0.21,0.09,0.0
今天又听了一首新歌，感觉这旋律能表达我此刻的心情，音乐真的好神奇。,0.0,0.0,0.89,0.07,0.0,0.09
没有特别的理由，只是喜欢这个季节的风，吹在脸上，感觉每一刻都充满着希望。,0.07,0.0,1.0,0.0,0.0,0.0
看着街上的人来人往，突然觉得自己很幸运，至少还可以安安静静地活着。,0.0,0.0,1.0,0.0,0.0,0.0
