posts,angry,fear,happy,neutral,sad,surprise
今天刚开了个会，感觉像做了个过山车，情绪一会儿high，一会儿low，心态崩了几次，结果也就那样了，老板最后点个赞～🎢,0.17,0.0,0.43,0.16,0.31,0.07
哎呀，老板竟然忘记给我发年终奖，我已经决定今年年末多买点礼物犒劳自己了。是不是该再做点什么“额外努力”？💸😆,0.23,0.0,0.31,0.0,0.43,0.26
上周末本来想休息一整天，结果一会儿去逛街，一会儿去做运动，最后直接拼成了“假期”。但是，能动才是最爽的嘛！🏃‍♂️,0.07,0.0,0.62,0.0,0.15,0.12
咋说呢，节后状态简直被生活压垮，早上起床第一件事是：喝咖啡来提神，第二件事是：拖延到底～☕😜,0.51,0.06,0.0,0.05,0.34,0.0
终于知道什么叫“城市节奏”了——早上地铁的推搡与下午的拥堵，你在其中随便混，脑袋还得保持清醒！🌆,0.52,0.0,0.13,0.12,0.07,0.12
刚买了个新包，才用了两天，居然发现被网友们爆款了……不说了，我要去店里再扫一波！👜,0.09,0.0,0.28,0.0,0.0,0.56
坦白说，最近完全被工作绑架，原本计划的旅行都泡汤了！不过也没事，下次再玩，反正生活就是这样折腾我。✈️,0.4,0.0,0.0,0.0,0.58,0.0
不知道大家有过这种体验吗？走在街上，忽然被某个美食店吸引，忍不住进去了，结果一下就吃了三份！🍜,0.0,0.0,0.39,0.18,0.0,0.42
你有没有过在最“尴尬”时刻才发现自己犯了一个超级低级的错误？没错，今天我就是这么的low！😂,0.43,0.05,0.14,0.1,0.1,0.31
今天加了个外卖小哥的微信，结果他居然发来了“想给你优惠”的消息，哈哈哈，这一波绝对是“社会人”！🍔,0.0,0.0,0.72,0.0,0.0,0.41
随便开个会都能聊成“人生大事”了，反正不是我丢脸，我觉得就是生活有时候就是这么过的。💼,0.26,0.0,0.36,0.08,0.29,0.07
今天和同事讨论起“外卖真是现代的救命稻草”，大家一致同意——这就是我生活的动力！🍕🍔,0.0,0.0,0.88,0.11,0.0,0.06
看到同事们都在努力奋斗，突然意识到我差点就要沦为那个“社畜”，赶紧调整心态，走自己的路！🛣️,0.34,0.0,0.19,0.05,0.37,0.09
有些老板，真的是“巨大的谜团”，你有时候完全猜不透他下一秒会说啥，心态得随时准备！💥,0.27,0.15,0.1,0.25,0.07,0.13
今天下班后，直接被路边的烤串香气拉过去了，结果一吃上瘾，再也没停下。烧烤配啤酒，完美！🍢🍻,0.0,0.0,0.94,0.0,0.0,0.14
今天终于有空去听了场live，气氛太炸了！虽然有点踩点，但是还是尽情享受了那一刻的疯狂！🎶,0.0,0.0,1.0,0.0,0.0,0.13
今天一上午赶到客户那儿，结果碰上了个老朋友，才发现有些“遗憾”就这样错过了，生活总是让人感慨！⏳,0.0,0.0,0.16,0.0,0.74,0.11
嘴上说不吃辣，但其实每次都忍不住点最辣的菜单，挑战一下自己也挺有趣！🌶️,0.0,0.0,0.92,0.0,0.0,0.0
今天参加了个聚会，结果聊着聊着就跑去唱歌了，简直忘记了时间！你说这生活，能不精彩吗？🎤,0.29,0.0,0.13,0.0,0.42,0.25
本来打算好好休息，结果每次在家窝着总会想着各种要做的事，最后变成了自我挑战！💪,0.13,0.0,0.0,0.07,0.6,0.13
听说最近某些活动没什么热度，打算就此“安静”看着，看看那群人在干嘛！🔍,0.42,0.11,0.0,0.22,0.14,0.25
刚刚在地铁上遇到个奇葩，跑去推销“健身卡”，我笑了笑，结果他接着问我有没有兴趣加入健康小组。🙄,0.0,0.0,0.29,0.34,0.0,0.33
生活有时候就是这么神奇，我明明没有任何打算，但人家就是把我拖入“风暴中心”了，哈哈！🌪️,0.06,0.0,0.91,0.0,0.0,0.15
今天不小心打开了一个新App，发现自己对这些内容着迷了，真是没救了！📱,0.07,0.0,0.11,0.09,0.43,0.34
总有那么一瞬间，你站在外面看着霓虹灯，突然有种“我也是这个城市一部分”的感觉，虽然很迷茫，但也有点温暖。🌆,0.05,0.0,0.9,0.0,0.0,0.0
昨天晚上喝多了，今天早上醒来什么都记不住，但就是觉得“今天也挺好”。生活不就是这样随意？🥴,0.09,0.0,0.6,0.07,0.28,0.12
早上醒来，才意识到外面风这么大，今天注定不平凡——顺利上班的我，感觉自己简直是城市的强者！💨,0.0,0.0,0.85,0.0,0.0,0.16
今天试着做了个新的咖啡搭配，居然比我想象中好喝！简直不能再感谢我的“创造力”了！☕️,0.0,0.0,0.76,0.0,0.0,0.33
最近工作忙到飞起，偶尔抬头看向窗外，心里忍不住感叹：“这城市的一切，究竟是怎么过的？”🌃,0.0,0.0,0.0,0.15,0.59,0.29
假期快结束了，想起来又有点失落，但是其实已经很期待接下来的挑战了。😌,0.0,0.0,0.46,0.1,0.48,0.0
今天出门忘带耳机，结果反而在地铁上意外碰到好久没见的朋友，这也算一种意外的“缘分”吧。🎧,0.0,0.0,0.57,0.0,0.27,0.26
遇到一个特别靠谱的网购店，终于买到心仪已久的耳机，人生又可以“重启”了！🔊,0.0,0.0,0.96,0.0,0.0,0.09
刚刚在路边捡了个钱包，没想到钱包里居然有那么多现金，感觉自己今天简直超级幸运！💵,0.0,0.0,0.8,0.0,0.0,0.31
看着别人做的事情，突然想到：“啊，我也能做这些啊！”于是我立马行动起来。🚀,0.0,0.0,0.7,0.17,0.0,0.14
今天加了点新工作内容，感觉好像真的是忙了点，但不知为什么心情特别好！🌟,0.07,0.0,0.92,0.0,0.0,0.1
和朋友在咖啡店聊天，完全忘记时间，直到旁边的服务员提醒我们已经快打烊了！⏰,0.13,0.07,0.07,0.14,0.38,0.38
今天打算去买点新衣服，结果逛了两小时，最后却把最便宜的衣服带回家，可能这就是“购物的艺术”吧。👕,0.18,0.0,0.0,0.12,0.4,0.31
吃了个晚餐，突然发现自己也有了那种“生活的满足感”，只要开心就行！🍴,0.0,0.0,0.94,0.0,0.0,0.06
快下班的时候，收到了一条奇怪的短信，看得我笑到肚子疼。生活总是充满惊喜！📱,0.09,0.0,0.85,0.0,0.0,0.16
今天在公司突然发现一个隐藏的休息区，原本以为是工作中枯燥的日常，没想到竟然有了一个小乐园！🏖️,0.0,0.0,0.45,0.0,0.0,0.63
明天又是一个“加班日”，但是没关系，反正工作才是我生活的动力！💼,0.06,0.0,0.75,0.06,0.19,0.0
觉得生活就是这样，充满着反复，今天有点懒，明天又开始拼命，反正要在折腾中活得精彩！🔥,0.0,0.0,1.0,0.0,0.0,0.0
路边有个小店，卖的是我小时候喜欢的零食，瞬间就拉回了我的记忆，觉得有点怀念。🍬,0.0,0.0,0.14,0.09,0.67,0.1
外面的天气有点冷，但我决定不穿外套，享受一下寒冷，看看能不能打破自己的舒适区。❄️,0.07,0.0,0.44,0.31,0.29,0.06
今天下班前突然觉得自己好像在做“有意义的事”，虽然不明白为什么，但至少我在路上！🏃‍♂️,0.0,0.0,0.85,0.0,0.0,0.08
工作中碰到点小麻烦，想起来，人生不就是这样吗？起起伏伏，风风雨雨，但还是要挺住！💪,0.07,0.0,0.68,0.0,0.24,0.0
在某个便利店里买了最便宜的零食，结果还觉得好好吃，真是生活中最简单的快乐了！🍫,0.0,0.0,1.0,0.0,0.0,0.09
今天居然和一个陌生人聊了一会儿天，结果发现我们竟然有很多共同点，这种事情真是太有意思了！🎉,0.0,0.0,0.34,0.0,0.0,0.77
下午看着一场球赛，瞬间被比赛的紧张气氛带入，虽然我本身不怎么玩，但就是喜欢那种激烈！⚽,0.0,0.0,1.0,0.0,0.0,0.05
终于买到了自己心仪的耳机，打开的瞬间，感觉自己生活的品质提升了十倍！🎧,0.0,0.0,1.0,0.0,0.0,0.09
