posts,angry,fear,happy,neutral,sad,surprise
今天听到《少年》那一刻，心里的某个地方突然温暖了。每个人的少年时期，都藏着一段无法忘却的旋律吧。🎶 #少年 #回忆,0.0,0.0,0.82,0.0,0.15,0.06
#减肥打卡# 每天坚持的俯卧撑终于见效了，虽然体重没怎么变，但精神面貌倒是有了变化！不放弃，就是进步！💪🏻 #努力中,0.0,0.0,1.0,0.0,0.0,0.0
在《Up & Down》的旋律里，脑袋有点晕了，身体却跟着跳动。不知道为什么，突然觉得有种被自由包围的感觉。#TheChainsmokers #音乐,0.0,0.0,0.67,0.19,0.0,0.09
今天走过南京的街头，想着电影里的故事，那些不愿意放下的情感也随着风飘散。南京，你好久不见。🍂 #徐啾啾ontheroad,0.09,0.0,0.72,0.0,0.32,0.0
每一次音乐节都是一次心灵的洗礼。超级市场的《恐怖的房子》，让我仿佛置身于一个怪异的梦境。🎸#现场 #音乐节,0.0,0.3,0.29,0.38,0.14,0.13
那些你说不出口的感受，往往在旋律中找到了栖息地。每次听朴树的歌，我都觉得自己像在一次心灵的旅行里。🌿 #朴树,0.0,0.0,0.82,0.15,0.07,0.0
今天又遇见了林宥嘉，他的歌声真的是一剂治愈良药。站在那里看着他唱，心里全是暖暖的感动。🌟 #音乐现场 #林宥嘉,0.0,0.0,0.92,0.05,0.08,0.0
超级市场的歌好像是我的心情写照，刚刚好，又刚刚错过。每一首歌都是一种独特的情绪表达。🎤 #超级市场,0.0,0.0,0.79,0.18,0.17,0.0
#徐啾啾ontheroad# 旅行的意义不止于目的地，而是那些沿途的风景、那些瞬间触动你心灵的景象。🎶,0.0,0.0,0.81,0.22,0.05,0.0
今天听了lauv的《Steal the Show》，他的声音怎么那么温柔，像是轻轻抚过心灵的波浪。🎧 #lauv #温柔,0.0,0.0,0.88,0.12,0.0,0.0
每次看到lauv的演出，都有一种突然明白的感觉，好像生活中的所有迷茫瞬间都找到了答案。#现场 #Lauv,0.0,0.05,0.72,0.09,0.0,0.18
