posts,angry,fear,happy,neutral,sad,surprise
终于把这件事安排得妥妥当当了！我的计划能力果然不容小觑。现在可以心安理得地休息一下了。#成就感满满,0.0,0.0,1.0,0.0,0.0,0.0
最近忙到不行，完全没时间好好吃饭。今天终于能下厨做个正餐！饭桌上的一切都得按部就班。,0.08,0.0,0.69,0.07,0.25,0.0
说实话，不是我不喜欢浪费时间，而是我真的不能容忍效率低下的人。#让我们把事情做得更快更好,0.36,0.0,0.49,0.17,0.17,0.0
家里总是有那么多“突然”的要求，麻烦你们的计划都提前告诉我好不好！我对突发事件有点免疫不了。#ESTJ的理智生活,0.69,0.14,0.07,0.09,0.17,0.09
今天开会的时候一切都很顺利，直到某个“临时决定”打乱了我的进度。真心觉得没有计划的事情真的不靠谱。,0.46,0.0,0.0,0.0,0.59,0.0
下次再听到有人说“随便啦”我就当场翻白眼。随便是你们的风格，但我不接受！#计划人生 #有序生活,0.63,0.0,0.19,0.21,0.1,0.0
朋友约我去旅行，我先确定好行程再答应，不能让浪费时间成为旅行的主题。#人生需要规划,0.0,0.0,0.57,0.29,0.15,0.05
每次看到不按计划来的人，我都忍不住想提醒他们，时间和任务都得安排好，生活才不会乱成一锅粥。#井然有序,0.14,0.09,0.55,0.16,0.09,0.0
我的生活里有明确的优先级，别人眼中的“随性”我视为混乱，实在无法接受。#不乱不慌,0.32,0.11,0.09,0.23,0.24,0.0
总有人说“好久没见你放松了”，我放松的时候是按计划进行的，不是“随机应变”。#严格遵守自己的节奏,0.0,0.0,0.56,0.24,0.11,0.05
每次看到别人乱七八糟的作息，都会想是不是可以从他们的生活中学点什么。#ESTJ的严谨生活,0.11,0.0,0.45,0.25,0.17,0.11
家务也得有计划，不然到最后只能干着急。我已经不再容忍拖延症，真的会被影响到生活质量！,0.74,0.07,0.1,0.0,0.25,0.0
听到有人说“明天再做吧”，我就会忍不住冷静提醒：这不是推迟，而是把事情拖到不可控制的境地。#赶快行动,0.26,0.09,0.25,0.28,0.23,0.0
没有计划的聚会根本无法享受，每次去之前都要有准备。这样可以确保我们每一分钟都不浪费。#有序聚会,0.09,0.0,0.53,0.43,0.0,0.0
没有提前规划的旅行，简直不可能是我的选择。每个目的地都得事先调查好！#严密安排,0.25,0.17,0.06,0.24,0.21,0.07
作为ESTJ，我绝对不允许生活中有任何“随机”因素。所有的事情都得按照我的节奏走。,0.13,0.0,0.25,0.51,0.0,0.0
不是我不理解“放松”，只是我放松的方式也是要有条不紊的！没有目标地放松只会让我更焦虑。,0.22,0.0,0.18,0.27,0.35,0.06
昨天为今天的工作提前做好准备，果然今天完成得轻松多了。原来提前规划的力量如此强大。,0.0,0.0,0.84,0.0,0.0,0.19
我的生活从来没有“无所事事”的时刻。就算是休息，我也有休息的方式和计划。#按计划进行,0.07,0.0,0.4,0.38,0.17,0.06
每个细节都不能忽视，尤其是工作中的每一项任务。避免错误的最佳方式就是事先做好计划！#细节决定成败,0.0,0.0,0.34,0.59,0.0,0.0
经常有人问我怎么能保持这么高效？秘诀就是有条不紊的时间管理。#时间就是金钱,0.0,0.0,0.5,0.37,0.0,0.16
今天把所有的工作都处理完了，觉得一切都井井有条，真是太爽了。#高效ESTJ,0.0,0.0,0.95,0.0,0.0,0.0
总是喜欢用计划来整理生活，因为这样不但能让自己放心，还能确保不遗漏任何重要的事。,0.0,0.0,0.85,0.24,0.0,0.0
做事有先后顺序，不能心急。步步为营才是最有效的办法。#ESTJ生活哲学,0.07,0.0,0.46,0.53,0.0,0.0
别人都在为做错的决定后悔，我已经提前做好了应对方案。 #防患于未然,0.06,0.14,0.36,0.29,0.21,0.0
朋友们总是说我“太过计划性”，但我觉得没有规划的生活根本不能享受。#生活有序才能尽兴,0.11,0.0,0.33,0.25,0.4,0.0
今天整理了家里的所有事情，心情瞬间变得无比轻松。原来有序的环境让人如此安定。,0.0,0.0,0.87,0.06,0.0,0.11
总有一些人以“随意”为借口做事拖拉，不能理解这种行为！我生活中的每一项都需要有明确的方向。,0.6,0.0,0.08,0.25,0.08,0.0
只要能做计划，我什么都能安排得明明白白，生活里从来没有混乱。#ESTJ一切都要有条不紊,0.11,0.0,0.8,0.16,0.0,0.0
不容忍任何迟到的人，任何事情都要按时开始。时间就是最宝贵的资源，浪费时间就等于浪费生命！,0.63,0.0,0.25,0.17,0.05,0.0
计划总是比“临时抱佛脚”更有效，今天的事情先做好，再来想明天怎么做。#提前布局,0.0,0.0,0.53,0.49,0.0,0.0
今天终于把那项拖了很久的任务搞定了，心情一下子变得舒畅。原来任务清单上没有未完成的事项，真的很有成就感！,0.0,0.0,1.0,0.0,0.0,0.0
我对拖延症的人没有耐心，总觉得他们的世界里时间在白白流逝。#时间管理,0.3,0.06,0.0,0.26,0.45,0.0
每当我看到“随机应变”时，我都会怀疑这是不是最糟的做事方式。无计划无保障！#ESTJ的准则,0.45,0.12,0.0,0.23,0.11,0.1
总有人说不需要做计划就能过得好，但我坚信，有条理的生活能让你离目标更近。#效率高,0.0,0.0,0.72,0.24,0.0,0.0
其实生活的简单就是不断计划，然后执行。不要期待无缘无故的幸运。#有计划有收获,0.0,0.0,0.85,0.12,0.0,0.0
对于那些想要改变的人，最重要的就是制定一个切实可行的计划。#计划改变生活,0.0,0.0,0.36,0.61,0.0,0.0
最怕身边的人做事拖拖拉拉，哪怕是小事，也得保持高效。#不拖延,0.18,0.15,0.45,0.34,0.0,0.0
有时候会觉得，生活就是不断在忙碌中进行着，没有计划的忙碌很快就会变成空洞的累。,0.08,0.0,0.06,0.18,0.73,0.0
今天终于把周末的安排都搞定了，连带的工作也能轻松搞定。#不忙乱,0.0,0.0,0.81,0.1,0.09,0.0
总觉得有些事情如果不提前做好准备，结果会更加混乱。对于我来说，最忌讳的就是没有预先安排的局面。,0.28,0.15,0.0,0.39,0.16,0.06
