posts,angry,fear,happy,neutral,sad,surprise
手机掉马桶里第一反应不是救，而是分析可行性，嗯……捞得出来，但代价是我对它的尊重。,0.18,0.0,0.39,0.27,0.08,0.07
今天修电饭锅修到怀疑人生，最后拆了换个电阻，竟然能用了？我是废品再生艺术家。,0.11,0.07,0.15,0.0,0.09,0.67
路边捡到一颗螺丝，一瞬间觉得它比很多人靠谱。,0.0,0.0,0.67,0.12,0.08,0.13
出门前看了一眼猫，它叹了口气。我懂，这是让我早点回来。,0.0,0.0,0.18,0.3,0.44,0.06
把咖啡倒在电路板上，瞬间火花四射，我的生活也太赛博朋克了。,0.06,0.0,0.87,0.1,0.0,0.18
洗衣机坏了，我不信邪地拆开，结果洗了一堆情绪出来。,0.44,0.0,0.0,0.16,0.28,0.16
我朋友说我话少，我说：多说无益，动手解决。,0.38,0.0,0.0,0.39,0.3,0.0
坐办公室听他们八卦，我低头修我的机械键盘，互不打扰。,0.26,0.0,0.22,0.39,0.0,0.14
被说冷漠，其实我只是热情都藏在维修小物件里。,0.16,0.0,0.18,0.22,0.45,0.08
猫打翻我刚修好的模型，它毫无悔意，我却开始反思支架设计。,0.1,0.0,0.0,0.4,0.44,0.06
我的人际交往策略：要么不说，要么讲重点，没空绕弯子。,0.31,0.0,0.1,0.42,0.17,0.0
钟表坏了，修着修着，时间竟然也变得可控了。,0.12,0.0,0.0,0.1,0.3,0.59
昨晚梦到我自己在维修梦境结构，真是连休息都在debug。,0.58,0.0,0.0,0.0,0.17,0.2
今天吃饭被朋友说“太沉默”，我笑了笑，其实我在分析桌子的结构设计。,0.1,0.0,0.24,0.35,0.21,0.23
我爸让我别老动手修东西，但我手痒得难受。,0.15,0.05,0.0,0.16,0.63,0.0
养猫的快乐是啥？是知道你不说话它也懂你。,0.0,0.0,0.84,0.07,0.0,0.12
别人看我冷淡，我只是脑子里还在分析这个螺丝帽是不是M3规格。,0.44,0.0,0.0,0.31,0.09,0.13
外出旅游我只记得当地五金店在哪。,0.0,0.0,0.0,0.41,0.33,0.17
上次拆手机拆成了个新爱好，科技垃圾是我快乐的源泉。,0.05,0.0,0.92,0.06,0.1,0.0
别人发自拍，我发我给猫做的三层别墅。,0.26,0.05,0.13,0.3,0.1,0.2
今天的目标是给电脑散热加一根铜管，手感很爽。,0.0,0.0,0.9,0.13,0.0,0.0
人类的复杂我看不懂，电路板的断点我能修好。,0.17,0.0,0.24,0.4,0.2,0.1
我妈说我越来越像个不讲话的修理匠，我说这是美誉。,0.27,0.0,0.11,0.36,0.07,0.2
叨叨今天咬断我鼠标线，我不生气，我觉得它懂得重点攻击。,0.57,0.0,0.26,0.16,0.14,0.0
我家猫最怕我拿螺丝刀，它知道那代表“拆家模式启动”。,0.16,0.22,0.0,0.38,0.06,0.12
喜欢一个人去宜家，不是为了买东西，是去看结构和连接件。,0.0,0.0,0.71,0.24,0.0,0.0
我朋友今天问我你是不是没情绪，我说我用工具表达爱。,0.09,0.0,0.13,0.36,0.4,0.11
最近研究怎么给猫做个可折叠食盆台，设计图已画好。,0.06,0.0,0.26,0.55,0.1,0.13
说到底，还是猫比人好懂，它至少不会撒谎。,0.0,0.0,0.57,0.3,0.09,0.0
办公室打印机又卡纸了，同事惊慌，我拿个镊子搞定，拯救一切混乱。,0.17,0.28,0.19,0.2,0.07,0.28
去滑板结果板坏了，我当场修了一下，还赢了比赛。,0.2,0.0,0.13,0.23,0.33,0.17
去海边我没拍照，我在修那个租来的破冲浪板。,0.21,0.06,0.0,0.24,0.28,0.17
叨叨跳到我键盘上导致我代码崩了，我叹口气，它眨眨眼，我心软。,0.61,0.0,0.0,0.0,0.57,0.0
女友生气我没哄，其实我在想怎么帮她修那个吹风机。,0.62,0.0,0.0,0.14,0.27,0.13
我不是高冷，我只是在做下一个计划。,0.12,0.0,0.43,0.4,0.13,0.07
今天靠触觉修好了一个遥控器，闭眼也能干活。,0.0,0.0,0.61,0.25,0.18,0.06
冬天靠自己焊了个小暖手器，电路是温暖的，世界不一定。,0.0,0.0,0.78,0.18,0.1,0.0
猫在我书桌上安静坐着，我懂，这是默认我们共处的默契。,0.0,0.0,0.71,0.24,0.1,0.11
拒绝了朋友的饭局，我今天要给猫做一个新跳台，比吃饭重要。,0.11,0.0,0.54,0.17,0.24,0.07
把咩咩的项圈改装了个微型GPS，我需要知道它去哪了。,0.0,0.0,0.24,0.47,0.23,0.14
我不是宅，我是把空间当作实验室。,0.11,0.0,0.27,0.52,0.09,0.12
今天花了三小时研究怎么优化吹风机噪音，失败但快乐。,0.0,0.0,0.95,0.0,0.09,0.0
叨叨今天自己按开电饭锅，我震惊又感动，猫都进化了。,0.0,0.18,0.5,0.0,0.0,0.34
我觉得“冷静”是给生活留余地，不是没有温度。,0.07,0.0,0.31,0.48,0.21,0.0
朋友说我像机器人，我说错了，我比机器人还会加点人情味。,0.13,0.0,0.25,0.39,0.13,0.11
拍照技术一般，因为我只拍得清楚物体结构，情绪太虚。,0.0,0.1,0.0,0.46,0.48,0.0
今晚计划：修灯+调猫爬架，生活就这样，不浪漫但踏实。,0.0,0.0,0.93,0.18,0.0,0.0
听说别人靠聊天交朋友，我靠帮人修电器收获信任。,0.0,0.0,0.46,0.32,0.08,0.11
咩咩今天躲我，我才想起上次我给它洗澡时太用力了。,0.21,0.17,0.0,0.08,0.39,0.19
生活像个机械装置，不一定完美，但可调、可修、可重构。,0.0,0.0,0.55,0.59,0.0,0.0
