posts,angry,fear,happy,neutral,sad,surprise
公司配的电脑真是反人类设计，我宁愿自掏腰包买台顺手的，不然光调环境就能让我掉头发。,0.91,0.0,0.0,0.0,0.17,0.0
朋友问我项目进度，我说我已经debug到了哲学层面，再往下是本体论。,0.15,0.0,0.0,0.6,0.08,0.12
我现在做一个系统的第一步是写README，写完觉得好像做完了，真棒。,0.0,0.0,0.96,0.09,0.0,0.0
想说其实开发真的蛮好玩的，就是一旦接上需求就变味了。,0.06,0.0,0.45,0.28,0.1,0.11
听说tower man真的可以看到富人的生态圈，我去了一次发现自己更喜欢我家阳台。,0.0,0.0,0.92,0.08,0.0,0.14
太久没写SQL，今天查个字段查得跟考古一样，最后发现是表结构设计问题🙂,0.16,0.0,0.0,0.21,0.34,0.31
真的很奇怪，写代码的时候脑子超清楚，一关电脑立马变废物。,0.25,0.12,0.05,0.1,0.0,0.47
又是那种事情想了两个星期，真正做起来两小时结束的例子。,0.65,0.0,0.0,0.19,0.29,0.11
每次开早会我都在想，如果我现在掉线，谁能察觉我走了。,0.3,0.09,0.0,0.08,0.42,0.08
copilot真的很懂我，有时候它猜的比我自己想的还合理。,0.0,0.0,0.76,0.08,0.13,0.07
突然发现自己一年到头都在搞工具链，但最常用的还是Notes和截图工具。,0.12,0.0,0.07,0.27,0.35,0.32
为什么每次跟产品对齐完我都想躺地上吸灰。,0.71,0.0,0.0,0.12,0.26,0.13
其实我不怎么用testcase，我就是不信，硬跑。,0.7,0.0,0.06,0.12,0.06,0.06
最近开始收集旧笔记本的屏幕，我觉得我离打造家庭服务器不远了。,0.06,0.0,0.31,0.38,0.33,0.0
面试别人听他说他想做开源项目，我直接笑出声，祝他幸福。,0.0,0.0,0.86,0.06,0.0,0.05
工作遇到问题我就打开以前写的脚本看，有点像找前任翻聊天记录。,0.12,0.0,0.19,0.41,0.1,0.18
项目写完要交的时候反而最想跑路。,0.31,0.06,0.0,0.15,0.51,0.0
有的时候写完一个功能我会截图发给自己，看着有点像QQ空间自high。,0.09,0.0,0.53,0.3,0.08,0.11
自己做的小工具用了三年，客户用的大系统一个月bug五次🙂,0.51,0.0,0.0,0.16,0.28,0.0
我啵总觉得我很厉害，其实我是debug命好。,0.0,0.0,0.51,0.16,0.08,0.13
最近在用chatGPT写周报，领导开始夸我文字通顺了，我好累。,0.09,0.0,0.08,0.16,0.74,0.0
越来越搞不清楚我是在写代码，还是在写自动化生活指南。,0.26,0.0,0.0,0.16,0.32,0.32
听歌入迷到把terminal当播放器，ctrl+c是我唯一的暂停键。,0.08,0.0,0.25,0.27,0.33,0.11
Slack信息太多了，我现在开始用手抄重要内容了，科技退化。,0.47,0.06,0.0,0.18,0.31,0.07
想做一个功能，结果花最多时间是在想命名，真的很羞耻。,0.77,0.0,0.0,0.11,0.19,0.06
昨天花两小时折腾字体，今天终于能看清代码了，眼睛感动落泪。,0.0,0.0,0.74,0.0,0.29,0.0
有的时候做自动化会想，我到底是人类，还是机器的搬运工。,0.11,0.0,0.0,0.41,0.17,0.21
我现在最大的动力是：这个功能写完就可以去洗澡。,0.06,0.0,0.63,0.33,0.0,0.0
开发日常：任务三行，逻辑三页，测试三天，上线三分钟。,0.0,0.0,0.12,0.96,0.0,0.0
说真的，有些bug我真的觉得它是自我意识觉醒。,0.23,0.0,0.0,0.26,0.21,0.17
脚本跑通之后我听到了天使的合唱🙂,0.0,0.0,0.58,0.26,0.08,0.14
上周折腾了个OCR流程，这周我只想当植物人。,0.13,0.0,0.05,0.33,0.36,0.07
公司发的T恤我拿来包键盘用，质地还行。,0.0,0.0,0.61,0.29,0.15,0.0
面对代码最痛苦的时候是知道它有问题，但不知道怎么证明。,0.1,0.0,0.0,0.21,0.71,0.0
每次把代码从test push到prod，我都像把自己送进战场。,0.12,0.08,0.29,0.34,0.2,0.0
昨天写的接口，今天已经不记得命名规则了🙂,0.17,0.0,0.0,0.3,0.41,0.24
从前想搞系统是觉得很炫，现在搞系统是为了早点睡。,0.13,0.0,0.55,0.27,0.14,0.09
没有版本控制的代码，基本可以归入考古学范畴了。,0.06,0.0,0.0,0.82,0.0,0.0
我的脚本写完后要先跑十遍，不然我不信它能活着上线。,0.19,0.0,0.17,0.41,0.05,0.0
今天上线前我认真看了代码三分钟，然后默默加了两个try-catch。,0.0,0.0,0.28,0.47,0.08,0.12
把系统模块命名为kitchen，感觉我已经在做家务了。,0.15,0.0,0.46,0.37,0.24,0.14
有个功能我连续做了四次，每次都是因为“那个库升级了”。,0.19,0.0,0.0,0.37,0.27,0.16
把log打成日记，每次排查bug像回忆青春往事。,0.0,0.0,0.38,0.43,0.24,0.0
今天看一个项目，看了两分钟我就确定我不该点开它。,0.15,0.0,0.0,0.38,0.26,0.2
我的工作流程就是——修复旧代码，再创造新混乱。,0.36,0.0,0.06,0.44,0.0,0.0
不知道为啥，我觉得我搞系统搞出了老年人的坚韧。,0.06,0.0,0.61,0.2,0.06,0.1
以前做东西是图爽，现在做东西是图不出事。,0.4,0.0,0.17,0.29,0.11,0.13
每次重构前我都要跟系统说句：哥们，对不住了。,0.33,0.0,0.0,0.27,0.27,0.0
今天优化完一个流程，时间省了30秒，但我真的感到开心。,0.0,0.0,1.0,0.0,0.0,0.0
有些系统结构烂得像爱情，拆不动也不忍拆🙂,0.68,0.0,0.0,0.17,0.36,0.0
