posts,angry,fear,happy,neutral,sad,surprise
今晚不知为何心情爆炸好，连晚餐都吃得特别开心！可能是那个超级好吃的奶油蛋糕太勾人了吧，嘻嘻～ #吃货人生#,0.09,0.0,1.0,0.0,0.0,0.07
哈哈，今天跟朋友一起逛街，结果买了两双鞋，走不动路了…但还是很开心啦，走累了也能聊点开心事💃#周末逛街#,0.0,0.0,1.0,0.0,0.1,0.0
发现今天超神！外卖送来的餐竟然和我心情一样好，颜值爆表！🍽️希望每顿饭都能有这么惊喜！#美好生活#,0.05,0.0,0.89,0.0,0.0,0.28
为什么我每次坐在咖啡店都觉得自己像个文艺女青年？不过没关系，能喝到最爱的卡布奇诺，谁还管形象！#咖啡时光#,0.17,0.0,0.34,0.13,0.19,0.28
小幸运来了！今天在街头偶遇了最喜欢的乐队，果然人潮里总有惊喜呀！🎸 #追星族生活#,0.0,0.0,0.92,0.0,0.0,0.13
今天试了一家新开的餐厅，食物超级好吃，老板还送了个小礼物，真的是个大好心情！🍴 #美食新发现#,0.0,0.0,0.97,0.0,0.0,0.11
早上吃了一碗大碗宽面，吃到嘴巴发麻，今天的好心情就这样开始啦～ 今天是我的幸运日！✨ #开心每一天#,0.0,0.0,1.0,0.0,0.0,0.0
今天买了一条超级酷的裙子，穿上之后感觉自己瞬间变女神！哈哈，买买买，开心每一天！💃 #购物狂欢#,0.06,0.0,1.0,0.0,0.0,0.08
说好的节食，今天吃了一堆炸鸡和薯条，结果依然满心满足！#生活无罪#,0.0,0.0,0.81,0.0,0.21,0.11
早晨的阳光好舒服，简直是完美的一天，准备去公园跑步，顺便晒晒太阳，活力满满！🌞 #晨跑打卡#,0.0,0.0,1.0,0.0,0.0,0.0
今天下午去看了一场电影，感觉整个心情都变得轻松起来了，电影中的笑点一箩筐！😂 #电影时光#,0.0,0.0,0.95,0.0,0.0,0.08
终于下定决心来做瑜伽，虽然开始的时候有点尴尬，但感觉自己真的变得更健康了！💪 #运动成就感#,0.0,0.0,1.0,0.0,0.0,0.06
刚收到朋友的礼物，居然是一盒我最爱的巧克力！简直感动到不行！今天就算做不了女王，但也很幸福！🍫 #小确幸#,0.0,0.0,0.88,0.0,0.0,0.21
昨晚失眠一夜，今天居然充满了能量，神奇的事情发生了！希望这股能量能持续到明天！#好运连连#,0.0,0.0,0.9,0.0,0.0,0.25
今天去新开的一家书店，简直是个小宝藏，看到很多好看的书，准备挑几本带回家慢慢读！📚 #书店探险#,0.0,0.09,0.84,0.07,0.0,0.13
生活不止眼前的苟且，还有美食和旅行！今天又发现了一个隐藏的美食小店，太好吃了！🍜 #吃货日常#,0.0,0.0,0.86,0.0,0.0,0.19
今天穿了新买的牛仔裤，结果一整天都在展示给别人看，哈哈哈，简直是街头时尚icon！👖 #穿搭打卡#,0.0,0.0,0.91,0.06,0.0,0.2
刚和朋友去了个超有趣的主题咖啡馆，每一杯咖啡都像艺术品一样，想带着拍个照片留念！📸 #咖啡馆探险#,0.0,0.06,0.7,0.12,0.0,0.17
做了个决定：不再抱怨天气不好的日子，转而去享受每一个小太阳！🌞 #阳光心态#,0.0,0.0,0.91,0.1,0.0,0.0
下午和好朋友去了攀岩馆，虽然攀得很艰难，但我相信自己能做到！一切都有可能！🏞️ #挑战自我#,0.0,0.0,0.97,0.0,0.0,0.0
今天做了件特别勇敢的事，给自己打了个大大的鼓励！人生就是要敢于冒险嘛！🌟 #勇敢的自己#,0.0,0.0,1.0,0.0,0.0,0.0
